* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	108.257118
20.144928	108.257118
20.290907	108.257118
20.437943	108.257118
20.586045	108.257118
20.735220	108.257118
20.885476	108.257118
21.036820	108.257118
21.189262	108.257118
21.342808	108.257118
21.497467	108.257118
21.653246	108.257118
21.810155	108.257118
21.968200	108.257118
22.127391	108.257118
22.287735	108.257118
22.449241	108.257118
22.611917	108.257118
22.775773	108.257118
22.940815	108.257118
23.107054	108.257118
23.274497	108.257118
23.443154	108.257118
23.613033	108.257118
23.784142	108.257118
23.956492	108.257118
24.130091	108.257118
24.304947	108.257118
24.481071	108.257118
24.658471	108.257118
24.837156	108.257118
25.017137	108.257118
25.198421	108.257118
25.381019	108.257118
25.564940	108.257118
25.750195	108.257118
25.936791	108.257118
26.124740	108.257118
26.314050	108.257118
26.504733	108.257118
26.696797	108.257118
26.890253	108.257118
27.085111	108.257118
27.281381	108.257118
27.479073	108.257118
27.678198	108.257118
27.878765	108.257118
28.080786	108.257118
28.284271	108.257118
28.489231	108.257118
28.695675	108.257118
28.903616	108.257118
29.113064	108.257118
29.324029	108.257118
29.536523	108.257118
29.750557	108.257118
29.966142	108.257118
30.183289	108.257118
30.402009	108.257118
30.622315	108.257118
30.844217	108.257118
31.067726	108.257118
31.292856	108.257118
31.519617	108.257118
31.748021	108.257118
31.978080	108.257118
32.209807	108.257118
32.443212	108.257118
32.678309	108.257118
32.915110	108.257118
33.153626	108.257118
33.393871	108.257118
33.635857	108.257118
33.879596	108.257118
34.125101	108.257118
34.372386	108.257118
34.621462	108.257118
34.872344	108.257118
35.125043	108.257118
35.379574	108.257118
35.635949	108.257118
35.894182	108.257118
36.154286	108.257118
36.416274	108.257118
36.680162	108.263960
36.945961	108.290842
37.213687	108.317918
37.483353	108.345191
37.754973	108.372661
38.028561	108.403408
38.304131	108.434091
38.581699	108.453466
38.861278	108.473005
39.142882	108.495599
39.426528	108.518324
39.712229	108.540933
40.000000	108.563644
40.289856	108.586269
40.581813	108.607274
40.875886	108.624216
41.172089	108.641280
41.470439	108.653245
41.770951	108.663645
42.073641	108.674121
42.378524	108.684673
42.685616	108.693248
42.994934	108.700710
43.306493	108.708226
43.620309	108.715797
43.936400	108.723422
44.254781	108.731102
44.575470	108.738962
44.898482	108.746888
45.223835	108.754872
45.551545	108.762914
45.881631	108.771014
46.214108	108.776640
46.548994	108.780091
46.886308	108.783567
47.226065	108.787068
47.568285	108.790595
47.912984	108.794147
48.260181	108.797725
48.609894	108.801329
48.962142	108.804959
49.316942	108.808616
49.674312	108.812298
50.034273	108.816008
50.396842	108.816462
50.762038	108.813356
51.129881	108.810226
51.500389	108.807075
51.873582	108.803900
52.249480	108.800702
52.628101	108.797481
53.009466	108.794237
53.393594	108.790969
53.780506	108.787677
54.170222	108.784362
54.562762	108.781023
54.958146	108.777659
55.356395	108.773184
55.757531	108.762828
56.161573	108.752398
56.568542	108.741892
56.978461	108.731164
57.391351	108.716150
57.807232	108.701028
58.226127	108.686343
58.648058	108.674074
59.073046	108.661717
59.501113	108.649270
59.932283	108.638779
60.366577	108.629137
60.804018	108.619425
61.244629	108.609643
61.688433	108.599682
62.135453	108.589320
62.585712	108.578882
63.039234	108.568369
63.496042	108.557240
63.956161	108.542216
64.419613	108.527084
64.886424	108.511417
65.356618	108.494478
65.830219	108.477417
66.307252	108.458679
66.787742	108.439233
67.271713	108.421051
67.759192	108.404083
68.250203	108.386992
68.744772	108.373403
69.242925	108.359815
69.744688	108.346128
70.250086	108.332592
70.759147	108.319020
71.271897	108.305350
71.788363	108.291777
72.308571	108.278222
72.832549	108.264569
73.360323	108.250268
73.891923	108.235208
74.427374	108.220040
74.966705	108.204949
75.509945	108.189874
76.057121	108.174689
76.608262	108.156393
77.163398	108.136945
77.722555	108.115812
78.285765	108.093133
78.853056	108.076152
79.424458	108.062597
80.000000	108.048945
80.579713	108.036359
81.163627	108.025104
81.751772	108.013767
82.344179	108.002348
82.940879	107.988606
83.541903	107.973526
84.147282	107.958337
84.757048	107.937298
85.371232	107.914576
85.989867	107.891967
86.612985	107.869229
87.240619	107.842160
87.872800	107.816752
88.509563	107.794095
89.150939	107.773030
89.796964	107.753618
90.447670	107.734151
91.103091	107.714770
91.763261	107.695265
92.428216	107.675915
93.097989	107.656424
93.772615	107.634349
94.452130	107.611620
95.136569	107.578448
95.825968	107.544459
96.520362	107.510452
97.219789	107.477263
97.924283	107.450097
98.633883	107.425340
99.348625	107.402659
100.068546	107.380012
